307.0,12:56:54
307.0,12:56:55
308.0,12:56:56
307.0,12:56:57
307.0,12:56:58
307.0,12:56:59
308.0,12:57:00
307.0,12:57:01
308.0,12:57:02
307.0,12:57:03
308.0,12:57:04
20.0,12:57:05
13.0,12:57:06
10.0,12:57:07
13.0,12:57:08
12.0,12:57:09
12.0,12:57:10
12.0,12:57:11
12.0,12:57:12
11.0,12:57:13
11.0,12:57:14
10.0,12:57:15
11.0,12:57:16
13.0,12:57:17
15.0,12:57:18
14.0,12:57:19
14.0,12:57:20
18.0,12:57:21
18.0,12:57:22
17.0,12:57:23
16.0,12:57:24
13.0,12:57:25
12.0,12:57:26
11.0,12:57:27
9.0,12:57:28
7.0,12:57:30
8.0,12:57:31
5.0,12:57:32
4.0,12:57:33
4.0,12:57:34
5.0,12:57:35
8.0,12:57:36
12.0,12:57:37
16.0,12:57:38
20.0,12:57:39
21.0,12:57:40
21.0,12:57:41
22.0,12:57:42
22.0,12:57:43
22.0,12:57:44
22.0,12:57:45
22.0,12:57:46
25.0,12:57:47
26.0,12:57:48
26.0,12:57:49
28.0,12:57:50
29.0,12:57:51
33.0,12:57:52
36.0,12:57:53
38.0,12:57:54
47.0,12:57:55
54.0,12:57:56
604.0,12:57:57
27.0,12:57:58
24.0,12:57:59
21.0,12:58:00
20.0,12:58:01
19.0,12:58:02
18.0,12:58:03
18.0,12:58:04
18.0,12:58:05
18.0,12:58:06
14.0,12:58:07
11.0,12:58:08
10.0,12:58:09
8.0,12:58:10
8.0,12:58:11
7.0,12:58:12
7.0,12:58:13
7.0,12:58:14
7.0,12:58:15
8.0,12:58:16
14.0,12:58:17
25.0,12:58:18
65.0,12:58:19
31.0,12:58:20
31.0,12:58:21
34.0,12:58:22
35.0,12:58:23
117.0,12:58:24
603.0,12:58:25
84.0,12:58:26
313.0,12:58:28
87.0,12:58:29
79.0,12:58:30
82.0,12:58:31
307.0,12:58:32
135.0,12:58:33
59.0,12:58:34
55.0,12:58:35
38.0,12:58:36
29.0,12:58:37
22.0,12:58:38
18.0,12:58:39
16.0,12:58:40
15.0,12:58:41
13.0,12:58:42
13.0,12:58:43
12.0,12:58:44
9.0,12:58:45
10.0,12:58:46
7.0,12:58:47
8.0,12:58:48
20.0,12:58:49
53.0,12:58:50
29.0,12:58:51
70.0,12:58:52
